epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2328.33,1.44888,0.86002,0.00303,0.51675,0.39394,0.42357,0.26314,1.48871,0.97195,0.00276,0.000487805,0.000487805,0.000487805
34,2399.33,1.52434,0.8984,0.0029,0.46877,0.42647,0.42546,0.2641,1.47926,0.98157,0.00279,0.000480736,0.000480736,0.000480736
35,2469.9,1.43213,0.86241,0.00273,0.47184,0.42188,0.40088,0.24372,1.47322,0.98561,0.00276,0.000473668,0.000473668,0.000473668
36,2540.16,1.55433,0.99714,0.00305,0.42528,0.45281,0.41681,0.26108,1.48933,0.98739,0.00282,0.000466599,0.000466599,0.000466599
37,2610.31,1.38709,0.8534,0.00283,0.51248,0.37575,0.43253,0.27299,1.48688,0.96398,0.00282,0.00045953,0.00045953,0.00045953
38,2680.88,1.44893,0.84598,0.00273,0.46219,0.47022,0.43745,0.27819,1.49497,0.97246,0.00284,0.000452462,0.000452462,0.000452462
39,2751.33,1.56421,0.93302,0.00277,0.47493,0.43752,0.42705,0.25935,1.46694,0.98493,0.00276,0.000445393,0.000445393,0.000445393
40,2821.5,1.39829,0.79444,0.00269,0.48265,0.42026,0.41476,0.25267,1.43886,0.96172,0.00267,0.000438325,0.000438325,0.000438325
41,2891.88,1.42993,0.81131,0.00274,0.45913,0.4378,0.41933,0.25598,1.44464,0.95544,0.00268,0.000431256,0.000431256,0.000431256
42,2962.16,1.48657,0.84239,0.00298,0.55412,0.42294,0.41527,0.25694,1.472,0.9408,0.00273,0.000424187,0.000424187,0.000424187
43,3032.31,1.41399,0.81254,0.00268,0.52351,0.42833,0.44269,0.26955,1.45019,0.93153,0.00273,0.000417119,0.000417119,0.000417119
44,3102.59,1.37964,0.83516,0.00264,0.49165,0.45781,0.44614,0.27828,1.4582,0.92792,0.00271,0.00041005,0.00041005,0.00041005
45,3173.09,1.37519,0.87702,0.00302,0.52343,0.47725,0.43568,0.27439,1.46448,0.94189,0.00271,0.000402982,0.000402982,0.000402982
46,3243.58,1.39929,0.78482,0.00273,0.57437,0.44051,0.44101,0.27617,1.452,0.93171,0.0027,0.000395913,0.000395913,0.000395913
47,3313.84,1.38914,0.76987,0.00252,0.52093,0.43655,0.44488,0.28253,1.44349,0.93488,0.0027,0.000388844,0.000388844,0.000388844
48,3384.44,1.44303,0.80209,0.00264,0.43249,0.46316,0.42117,0.2613,1.45378,0.97169,0.00268,0.000381776,0.000381776,0.000381776
49,3454.57,1.38504,0.76565,0.00281,0.51566,0.4201,0.417,0.25876,1.45849,0.952,0.00271,0.000374707,0.000374707,0.000374707
50,3524.76,1.43896,0.79609,0.00269,0.48527,0.42663,0.40932,0.24955,1.43989,0.93952,0.00267,0.000367639,0.000367639,0.000367639
51,3594.89,1.32657,0.75956,0.00267,0.45021,0.47355,0.42696,0.26683,1.44118,0.94731,0.00271,0.00036057,0.00036057,0.00036057
52,3664.69,1.38675,0.78378,0.00268,0.48356,0.41949,0.41962,0.26117,1.43973,0.94926,0.00267,0.000353501,0.000353501,0.000353501
53,3734.75,1.38345,0.76819,0.00262,0.55819,0.40509,0.42859,0.26788,1.45191,0.93577,0.00273,0.000346433,0.000346433,0.000346433
54,3805.42,1.34515,0.72337,0.0027,0.45972,0.43696,0.43095,0.27036,1.43093,0.90701,0.00265,0.000339364,0.000339364,0.000339364
55,3875.64,1.42446,0.76353,0.00249,0.40504,0.44766,0.44169,0.27705,1.43539,0.91045,0.00266,0.000332296,0.000332296,0.000332296
56,3945.58,1.3302,0.72598,0.00268,0.52879,0.44128,0.43171,0.26812,1.44006,0.91027,0.00268,0.000325227,0.000325227,0.000325227
57,4016.45,1.38684,0.74637,0.00241,0.44614,0.48899,0.45403,0.2904,1.47211,0.91277,0.0027,0.000318158,0.000318158,0.000318158
58,4087.31,1.37807,0.75264,0.00254,0.44319,0.48285,0.45406,0.29301,1.41638,0.8901,0.00261,0.00031109,0.00031109,0.00031109
59,4158.22,1.3143,0.71054,0.00261,0.47979,0.47669,0.46068,0.29581,1.42838,0.89648,0.00264,0.000304021,0.000304021,0.000304021
60,4228.6,1.33382,0.79244,0.00257,0.51605,0.48607,0.45786,0.29574,1.44402,0.89656,0.00264,0.000296953,0.000296953,0.000296953
61,4298.61,1.40679,0.70141,0.00256,0.48098,0.51916,0.47684,0.30588,1.42876,0.90325,0.00267,0.000289884,0.000289884,0.000289884
62,4368.69,1.32607,0.70965,0.00265,0.46978,0.55004,0.47558,0.30583,1.43225,0.89052,0.00268,0.000282815,0.000282815,0.000282815
63,4438.57,1.50489,0.79398,0.00254,0.53386,0.49325,0.47872,0.31012,1.41335,0.88511,0.00261,0.000275747,0.000275747,0.000275747
64,4508.96,1.29654,0.70844,0.00281,0.53446,0.46391,0.46476,0.29912,1.42462,0.90017,0.00264,0.000268678,0.000268678,0.000268678
65,4579.17,1.28067,0.73477,0.00255,0.44928,0.51643,0.47286,0.30639,1.43361,0.9066,0.00269,0.00026161,0.00026161,0.00026161
66,4649.27,1.34343,0.77301,0.0026,0.61295,0.37985,0.4706,0.30014,1.4172,0.88445,0.00262,0.000254541,0.000254541,0.000254541
67,4719.2,1.31111,0.69591,0.00247,0.61894,0.39375,0.44725,0.27513,1.42032,0.89753,0.00261,0.000247472,0.000247472,0.000247472
68,4789.86,1.25163,0.64009,0.00235,0.60482,0.3899,0.45894,0.28423,1.42658,0.90049,0.00266,0.000240404,0.000240404,0.000240404
69,4860.15,1.363,0.67895,0.00235,0.6094,0.38519,0.44733,0.27689,1.40795,0.91619,0.0026,0.000233335,0.000233335,0.000233335
70,4930.48,1.42261,0.73621,0.00246,0.59153,0.4096,0.4518,0.27787,1.41361,0.91715,0.00261,0.000226267,0.000226267,0.000226267
71,5000.79,1.3171,0.68625,0.00238,0.50878,0.49589,0.47815,0.29954,1.41686,0.9029,0.00259,0.000219198,0.000219198,0.000219198
72,5070.73,1.39049,0.70535,0.00243,0.66384,0.4197,0.47458,0.29671,1.41695,0.88981,0.00261,0.000212129,0.000212129,0.000212129
73,5141.17,1.26225,0.62438,0.00255,0.69319,0.41864,0.4868,0.3088,1.41659,0.88585,0.00264,0.000205061,0.000205061,0.000205061
74,5211.62,1.26831,0.69805,0.00266,0.72625,0.41548,0.48565,0.31144,1.41272,0.88838,0.0026,0.000197992,0.000197992,0.000197992
75,5281.96,1.33585,0.70224,0.00232,0.75293,0.41636,0.48415,0.30939,1.42593,0.889,0.00262,0.000190924,0.000190924,0.000190924
76,5352.21,1.36128,0.69791,0.0023,0.71747,0.41408,0.48418,0.30964,1.42412,0.888,0.00264,0.000183855,0.000183855,0.000183855
77,5422.03,1.37009,0.70811,0.00223,0.70761,0.41546,0.4855,0.30891,1.41433,0.87787,0.00261,0.000176786,0.000176786,0.000176786
78,5491.93,1.26679,0.62975,0.00229,0.61928,0.43662,0.48978,0.3111,1.40238,0.87987,0.00257,0.000169718,0.000169718,0.000169718
79,5561.87,1.21678,0.60406,0.00226,0.61878,0.42815,0.486,0.3039,1.40701,0.88851,0.00258,0.000162649,0.000162649,0.000162649
80,5632.07,1.27114,0.65639,0.0022,0.61713,0.42891,0.48549,0.30996,1.42288,0.88735,0.00262,0.000155581,0.000155581,0.000155581
81,5702.54,1.25358,0.63546,0.00225,0.61673,0.43537,0.48454,0.30752,1.41198,0.8847,0.00259,0.000148512,0.000148512,0.000148512
82,5772.61,1.2347,0.62237,0.00228,0.62323,0.42728,0.48724,0.3068,1.40646,0.87374,0.00257,0.000141443,0.000141443,0.000141443
83,5843.06,1.37264,0.69142,0.00229,0.67201,0.4185,0.49168,0.30973,1.41098,0.87466,0.00259,0.000134375,0.000134375,0.000134375
84,5913.38,1.31135,0.67853,0.00255,0.64439,0.42248,0.49264,0.31125,1.41643,0.87916,0.0026,0.000127306,0.000127306,0.000127306
85,5983.36,1.2782,0.63526,0.00233,0.68076,0.42519,0.49111,0.31433,1.40699,0.88535,0.00258,0.000120238,0.000120238,0.000120238
86,6054.06,1.32707,0.65308,0.00217,0.67088,0.42064,0.48558,0.30892,1.39644,0.88511,0.00256,0.000113169,0.000113169,0.000113169
