,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,54,3805.42,1.34515,0.72337,0.0027,0.45972,0.43696,0.43095,0.27036,1.43093,0.90701,0.00265,0.000339364,0.000339364,0.000339364
54,55,3875.64,1.42446,0.76353,0.00249,0.40504,0.44766,0.44169,0.27705,1.43539,0.91045,0.00266,0.000332296,0.000332296,0.000332296
55,56,3945.58,1.3302,0.72598,0.00268,0.52879,0.44128,0.43171,0.26812,1.44006,0.91027,0.00268,0.000325227,0.000325227,0.000325227
56,57,4016.45,1.38684,0.74637,0.00241,0.44614,0.48899,0.45403,0.2904,1.47211,0.91277,0.0027,0.000318158,0.000318158,0.000318158
57,58,4087.31,1.37807,0.75264,0.00254,0.44319,0.48285,0.45406,0.29301,1.41638,0.8901,0.00261,0.00031109,0.00031109,0.00031109
58,59,4158.22,1.3143,0.71054,0.00261,0.47979,0.47669,0.46068,0.29581,1.42838,0.89648,0.00264,0.000304021,0.000304021,0.000304021
59,60,4228.6,1.33382,0.79244,0.00257,0.51605,0.48607,0.45786,0.29574,1.44402,0.89656,0.00264,0.000296953,0.000296953,0.000296953
60,61,4298.61,1.40679,0.70141,0.00256,0.48098,0.51916,0.47684,0.30588,1.42876,0.90325,0.00267,0.000289884,0.000289884,0.000289884
61,62,4368.69,1.32607,0.70965,0.00265,0.46978,0.55004,0.47558,0.30583,1.43225,0.89052,0.00268,0.000282815,0.000282815,0.000282815
62,63,4438.57,1.50489,0.79398,0.00254,0.53386,0.49325,0.47872,0.31012,1.41335,0.88511,0.00261,0.000275747,0.000275747,0.000275747
63,64,4508.96,1.29654,0.70844,0.00281,0.53446,0.46391,0.46476,0.29912,1.42462,0.90017,0.00264,0.000268678,0.000268678,0.000268678
64,65,4579.17,1.28067,0.73477,0.00255,0.44928,0.51643,0.47286,0.30639,1.43361,0.9066,0.00269,0.00026161,0.00026161,0.00026161
65,66,4649.27,1.34343,0.77301,0.0026,0.61295,0.37985,0.4706,0.30014,1.4172,0.88445,0.00262,0.000254541,0.000254541,0.000254541
66,67,4719.2,1.31111,0.69591,0.00247,0.61894,0.39375,0.44725,0.27513,1.42032,0.89753,0.00261,0.000247472,0.000247472,0.000247472
67,68,4789.86,1.25163,0.64009,0.00235,0.60482,0.3899,0.45894,0.28423,1.42658,0.90049,0.00266,0.000240404,0.000240404,0.000240404
68,69,4860.15,1.363,0.67895,0.00235,0.6094,0.38519,0.44733,0.27689,1.40795,0.91619,0.0026,0.000233335,0.000233335,0.000233335
69,70,4930.48,1.42261,0.73621,0.00246,0.59153,0.4096,0.4518,0.27787,1.41361,0.91715,0.00261,0.000226267,0.000226267,0.000226267
70,71,5000.79,1.3171,0.68625,0.00238,0.50878,0.49589,0.47815,0.29954,1.41686,0.9029,0.00259,0.000219198,0.000219198,0.000219198
71,72,5070.73,1.39049,0.70535,0.00243,0.66384,0.4197,0.47458,0.29671,1.41695,0.88981,0.00261,0.000212129,0.000212129,0.000212129
72,73,5141.17,1.26225,0.62438,0.00255,0.69319,0.41864,0.4868,0.3088,1.41659,0.88585,0.00264,0.000205061,0.000205061,0.000205061
73,74,5211.62,1.26831,0.69805,0.00266,0.72625,0.41548,0.48565,0.31144,1.41272,0.88838,0.0026,0.000197992,0.000197992,0.000197992
74,75,5281.96,1.33585,0.70224,0.00232,0.75293,0.41636,0.48415,0.30939,1.42593,0.889,0.00262,0.000190924,0.000190924,0.000190924
75,76,5352.21,1.36128,0.69791,0.0023,0.71747,0.41408,0.48418,0.30964,1.42412,0.888,0.00264,0.000183855,0.000183855,0.000183855
76,77,5422.03,1.37009,0.70811,0.00223,0.70761,0.41546,0.4855,0.30891,1.41433,0.87787,0.00261,0.000176786,0.000176786,0.000176786
77,78,5491.93,1.26679,0.62975,0.00229,0.61928,0.43662,0.48978,0.3111,1.40238,0.87987,0.00257,0.000169718,0.000169718,0.000169718
78,79,5561.87,1.21678,0.60406,0.00226,0.61878,0.42815,0.486,0.3039,1.40701,0.88851,0.00258,0.000162649,0.000162649,0.000162649
79,80,5632.07,1.27114,0.65639,0.0022,0.61713,0.42891,0.48549,0.30996,1.42288,0.88735,0.00262,0.000155581,0.000155581,0.000155581
80,81,5702.54,1.25358,0.63546,0.00225,0.61673,0.43537,0.48454,0.30752,1.41198,0.8847,0.00259,0.000148512,0.000148512,0.000148512
81,82,5772.61,1.2347,0.62237,0.00228,0.62323,0.42728,0.48724,0.3068,1.40646,0.87374,0.00257,0.000141443,0.000141443,0.000141443
82,83,5843.06,1.37264,0.69142,0.00229,0.67201,0.4185,0.49168,0.30973,1.41098,0.87466,0.00259,0.000134375,0.000134375,0.000134375
83,84,5913.38,1.31135,0.67853,0.00255,0.64439,0.42248,0.49264,0.31125,1.41643,0.87916,0.0026,0.000127306,0.000127306,0.000127306
84,85,5983.36,1.2782,0.63526,0.00233,0.68076,0.42519,0.49111,0.31433,1.40699,0.88535,0.00258,0.000120238,0.000120238,0.000120238
85,86,6054.06,1.32707,0.65308,0.00217,0.67088,0.42064,0.48558,0.30892,1.39644,0.88511,0.00256,0.000113169,0.000113169,0.000113169
86,87,6123.92,1.32028,0.67722,0.00229,0.64914,0.42726,0.4841,0.30881,1.40208,0.88608,0.00258,0.0001061,0.0001061,0.0001061
87,88,6194.11,1.24616,0.6094,0.00221,0.55103,0.49223,0.48867,0.31079,1.41029,0.89226,0.0026,9.90318e-05,9.90318e-05,9.90318e-05
88,89,6263.87,1.21767,0.60673,0.00229,0.5759,0.47305,0.48946,0.30977,1.41124,0.89146,0.0026,9.19632e-05,9.19632e-05,9.19632e-05
89,90,6333.5,1.26157,0.64083,0.00216,0.57298,0.4774,0.48955,0.30977,1.40631,0.88169,0.00258,8.48946e-05,8.48946e-05,8.48946e-05
90,91,6403.96,1.24437,0.58728,0.00213,0.59387,0.46845,0.49285,0.31082,1.40191,0.87535,0.00257,7.7826e-05,7.7826e-05,7.7826e-05
91,92,6473.67,1.26375,0.60521,0.00216,0.58465,0.47132,0.49394,0.31187,1.40458,0.87813,0.00257,7.07574e-05,7.07574e-05,7.07574e-05
92,93,6543.52,1.19845,0.61991,0.00238,0.56662,0.48526,0.49355,0.30873,1.40706,0.88059,0.00258,6.36888e-05,6.36888e-05,6.36888e-05
93,94,6613.61,1.29275,0.62915,0.0021,0.55317,0.48474,0.49375,0.30985,1.40535,0.87787,0.00259,5.66202e-05,5.66202e-05,5.66202e-05
94,95,6683.38,1.28692,0.63252,0.00216,0.55584,0.48315,0.49436,0.3114,1.40131,0.87817,0.00258,4.95516e-05,4.95516e-05,4.95516e-05
95,96,6753.73,1.18375,0.564,0.00231,0.55713,0.47387,0.49421,0.31196,1.40224,0.87417,0.00257,4.2483e-05,4.2483e-05,4.2483e-05
96,97,6823.77,1.30668,0.66055,0.00206,0.57709,0.46769,0.49413,0.31218,1.40147,0.87581,0.00257,3.54144e-05,3.54144e-05,3.54144e-05
97,98,6893.77,1.1665,0.54765,0.00214,0.56921,0.47754,0.49372,0.31128,1.40284,0.87528,0.00257,2.83458e-05,2.83458e-05,2.83458e-05
98,99,6963.63,1.24399,0.6335,0.00231,0.59355,0.4636,0.49449,0.31145,1.40246,0.8743,0.00257,2.12772e-05,2.12772e-05,2.12772e-05
99,100,7033.43,1.27822,0.66007,0.00219,0.58164,0.46566,0.494,0.31111,1.40326,0.87332,0.00258,1.42086e-05,1.42086e-05,1.42086e-05
100,101,73.5322,1.30198,0.65564,0.00207,0.57873,0.47696,0.4856,0.30748,1.4159,0.89961,0.00262,4.998e-05,4.998e-05,4.998e-05
101,102,145.017,1.31324,0.68895,0.0024,0.63519,0.42525,0.48716,0.30531,1.42002,0.89969,0.00262,0.00010604,0.00010604,0.00010604
102,103,215.664,1.27815,0.65205,0.0025,0.5498,0.4723,0.47368,0.29653,1.44587,0.92501,0.0027,0.000160968,0.000160968,0.000160968
103,104,285.997,1.23022,0.60608,0.0024,0.58283,0.4492,0.46445,0.29541,1.40958,0.92269,0.0026,0.000214766,0.000214766,0.000214766
104,105,356.44,1.20156,0.64123,0.00279,0.48426,0.48017,0.45308,0.28334,1.41718,0.92847,0.00263,0.000267433,0.000267433,0.000267433
105,106,426.646,1.27075,0.65385,0.0025,0.50947,0.43232,0.433,0.25606,1.48065,0.94612,0.00272,0.000318969,0.000318969,0.000318969
106,107,497.125,1.42906,0.68634,0.00227,0.55453,0.42986,0.44959,0.27485,1.42664,0.9304,0.00265,0.000369374,0.000369374,0.000369374
107,108,568.023,1.30075,0.6427,0.00267,0.52204,0.45239,0.45776,0.28143,1.46762,0.93301,0.00274,0.000418647,0.000418647,0.000418647
108,109,638.738,1.30161,0.66572,0.00227,0.64123,0.37526,0.45924,0.29061,1.45318,0.97622,0.0027,0.00046679,0.00046679,0.00046679
109,110,709.218,1.3198,0.66022,0.00256,0.51447,0.47022,0.45499,0.28351,1.48448,0.9832,0.00276,0.000513802,0.000513802,0.000513802
110,111,779.669,1.3343,0.66331,0.00235,0.48754,0.45482,0.43498,0.26666,1.51523,0.97065,0.00291,0.000559683,0.000559683,0.000559683
111,112,849.975,1.30144,0.66599,0.00256,0.45856,0.46272,0.42972,0.26371,1.50664,1.01054,0.00286,0.000604433,0.000604433,0.000604433
112,113,920.148,1.22845,0.70963,0.0031,0.55054,0.40137,0.42095,0.24769,1.58138,1.07522,0.00299,0.000629177,0.000629177,0.000629177
113,114,990.454,1.33387,0.66696,0.00272,0.56496,0.44323,0.44337,0.27053,1.49045,0.96023,0.00283,0.000622108,0.000622108,0.000622108
114,115,1060.28,1.32416,0.68165,0.00258,0.55739,0.41842,0.42802,0.26636,1.49014,0.9427,0.00278,0.00061504,0.00061504,0.00061504
115,116,1129.99,1.35242,0.69452,0.00251,0.52442,0.42871,0.41979,0.2591,1.48813,0.98439,0.00281,0.000607971,0.000607971,0.000607971
116,117,1200.15,1.30162,0.66252,0.00263,0.48151,0.46852,0.42074,0.2545,1.49157,0.98137,0.00282,0.000600902,0.000600902,0.000600902
117,118,1269.98,1.33918,0.65906,0.00264,0.52424,0.44455,0.42533,0.25889,1.50806,0.96088,0.00285,0.000593834,0.000593834,0.000593834
118,119,1339.8,1.29238,0.68685,0.00259,0.49309,0.43785,0.4203,0.25528,1.46886,0.9857,0.00276,0.000586765,0.000586765,0.000586765
119,120,1409.26,1.35549,0.72188,0.00241,0.4586,0.43553,0.38728,0.23385,1.49125,0.96383,0.00278,0.000579697,0.000579697,0.000579697
120,121,1478.8,1.27439,0.64056,0.00269,0.44538,0.43939,0.40847,0.24078,1.50743,0.95282,0.00286,0.000572628,0.000572628,0.000572628
121,122,1548.65,1.27161,0.65249,0.00237,0.47884,0.46027,0.42946,0.26135,1.47469,0.95847,0.00279,0.000565559,0.000565559,0.000565559
122,123,1618.61,1.2474,0.62829,0.00235,0.5523,0.44295,0.44005,0.26728,1.45526,0.96173,0.00271,0.000558491,0.000558491,0.000558491
123,124,1688.68,1.27479,0.63154,0.00261,0.60194,0.39499,0.43693,0.26359,1.45898,0.95116,0.00272,0.000551422,0.000551422,0.000551422
124,125,1758.58,1.35489,0.6792,0.00235,0.57177,0.44635,0.45318,0.27668,1.52276,0.95836,0.00288,0.000544354,0.000544354,0.000544354
125,126,1828.75,1.28064,0.73629,0.00272,0.47735,0.45594,0.44012,0.26898,1.44289,0.96357,0.0027,0.000537285,0.000537285,0.000537285
126,127,1898.35,1.40074,0.66662,0.00232,0.55173,0.4745,0.456,0.28404,1.46413,0.94699,0.0027,0.000530216,0.000530216,0.000530216
127,128,1968.44,1.29343,0.64204,0.00245,0.65648,0.43149,0.47496,0.30119,1.45041,0.93508,0.00268,0.000523148,0.000523148,0.000523148
128,129,2038.57,1.30466,0.70974,0.00259,0.563,0.4628,0.45777,0.29366,1.44844,0.95705,0.00269,0.000516079,0.000516079,0.000516079
129,130,2108.35,1.26049,0.62052,0.00236,0.51852,0.47896,0.4505,0.28172,1.4359,0.93652,0.0027,0.000509011,0.000509011,0.000509011
130,131,2178.11,1.37054,0.65031,0.00213,0.52666,0.48637,0.44937,0.27545,1.47512,0.95334,0.00276,0.000501942,0.000501942,0.000501942
131,132,2247.78,1.33326,0.67412,0.00231,0.43541,0.48249,0.43601,0.26695,1.42985,0.94873,0.00265,0.000494873,0.000494873,0.000494873
132,133,2317.52,1.22718,0.58722,0.00237,0.62365,0.40064,0.42794,0.26022,1.45448,0.9456,0.00273,0.000487805,0.000487805,0.000487805
133,134,2387.62,1.29085,0.6047,0.0023,0.52912,0.45208,0.45828,0.2813,1.42725,0.94317,0.00265,0.000480736,0.000480736,0.000480736
134,135,2457.8,1.25176,0.58704,0.00222,0.58521,0.42853,0.45645,0.2782,1.45506,0.97397,0.00274,0.000473668,0.000473668,0.000473668
135,136,2527.79,1.31759,0.66622,0.00241,0.57896,0.46378,0.4716,0.29135,1.46051,0.95969,0.00276,0.000466599,0.000466599,0.000466599
136,137,2597.68,1.15924,0.57631,0.00224,0.57289,0.48336,0.47587,0.29672,1.46416,0.93543,0.00277,0.00045953,0.00045953,0.00045953
137,138,2667.47,1.26191,0.59138,0.0023,0.60787,0.4573,0.47341,0.29588,1.44864,0.95169,0.00275,0.000452462,0.000452462,0.000452462
138,139,2737.21,1.36745,0.6782,0.00231,0.51125,0.49427,0.46672,0.2894,1.4305,0.95301,0.00269,0.000445393,0.000445393,0.000445393
139,140,2807.02,1.2333,0.57239,0.00229,0.49095,0.48622,0.45515,0.28445,1.44019,0.94185,0.00272,0.000438325,0.000438325,0.000438325
140,141,2876.65,1.24714,0.569,0.00224,0.52757,0.45757,0.45118,0.27853,1.44363,0.94051,0.00272,0.000431256,0.000431256,0.000431256
141,142,2946.72,1.27101,0.60382,0.00243,0.51221,0.47502,0.46136,0.28126,1.47325,0.95202,0.00278,0.000424187,0.000424187,0.000424187
142,143,3016.68,1.2152,0.57754,0.00216,0.5515,0.45846,0.47161,0.29481,1.44203,0.93165,0.00271,0.000417119,0.000417119,0.000417119
143,144,3086.57,1.20083,0.5797,0.00219,0.66963,0.46196,0.49322,0.3075,1.45558,0.91873,0.00274,0.00041005,0.00041005,0.00041005
144,145,3156.91,1.20146,0.63385,0.00264,0.56769,0.46481,0.47796,0.29802,1.45611,0.92622,0.0027,0.000402982,0.000402982,0.000402982
145,146,3226.84,1.2284,0.58405,0.0023,0.60016,0.47434,0.47987,0.30456,1.44957,0.93031,0.0027,0.000395913,0.000395913,0.000395913
146,147,3296.38,1.21263,0.54976,0.00209,0.52917,0.45576,0.46885,0.29367,1.4537,0.94695,0.0027,0.000388844,0.000388844,0.000388844
147,148,3366.11,1.25846,0.56471,0.00215,0.60263,0.42886,0.45577,0.28352,1.45882,0.96675,0.0027,0.000381776,0.000381776,0.000381776
148,149,3436.04,1.21876,0.55652,0.00236,0.57617,0.46986,0.46199,0.29035,1.46767,0.95486,0.00273,0.000374707,0.000374707,0.000374707
149,150,3505.78,1.25053,0.59777,0.00218,0.56719,0.48077,0.46955,0.2979,1.43933,0.93584,0.00267,0.000367639,0.000367639,0.000367639
150,151,3575.74,1.13461,0.553,0.00214,0.56116,0.47181,0.47643,0.29589,1.47,0.95115,0.00273,0.00036057,0.00036057,0.00036057
151,152,3645.57,1.20469,0.57934,0.00218,0.55938,0.45874,0.48496,0.3028,1.4345,0.96793,0.00267,0.000353501,0.000353501,0.000353501
152,153,3715.44,1.20894,0.56796,0.00219,0.52506,0.51458,0.48315,0.29875,1.46155,0.94823,0.0027,0.000346433,0.000346433,0.000346433
153,154,3785.26,1.15225,0.52069,0.00214,0.62439,0.45827,0.48637,0.30571,1.44914,0.93481,0.00266,0.000339364,0.000339364,0.000339364
154,155,3855.49,1.24918,0.58014,0.00202,0.57972,0.4851,0.49596,0.31144,1.45461,0.92687,0.00268,0.000332296,0.000332296,0.000332296
155,156,3925.39,1.16813,0.55782,0.00223,0.49098,0.53594,0.49946,0.31909,1.4458,0.92048,0.00269,0.000325227,0.000325227,0.000325227
156,157,3995.92,1.21887,0.57367,0.00203,0.57426,0.48913,0.49995,0.30862,1.5013,0.92223,0.0028,0.000318158,0.000318158,0.000318158
157,158,4066.03,1.24612,0.57237,0.00217,0.54138,0.50789,0.50015,0.31633,1.4754,0.93391,0.00274,0.00031109,0.00031109,0.00031109
158,159,4135.92,1.15234,0.53629,0.00219,0.55428,0.51097,0.49078,0.30711,1.44275,0.92741,0.00268,0.000304021,0.000304021,0.000304021
159,160,4205.57,1.16365,0.55515,0.00214,0.60821,0.48551,0.49678,0.30974,1.47343,0.91095,0.00273,0.000296953,0.000296953,0.000296953
160,161,4275.79,1.23917,0.54283,0.00211,0.632,0.47549,0.49687,0.31145,1.45713,0.89747,0.00269,0.000289884,0.000289884,0.000289884
161,162,4345.95,1.15629,0.52922,0.00211,0.62303,0.49244,0.50505,0.31371,1.45008,0.91321,0.00269,0.000282815,0.000282815,0.000282815
162,163,4415.81,1.33969,0.61823,0.00209,0.51467,0.53027,0.48766,0.29659,1.46629,0.94008,0.00272,0.000275747,0.000275747,0.000275747
163,164,4485.56,1.14999,0.53725,0.00243,0.58221,0.4688,0.49623,0.30463,1.4398,0.92026,0.0027,0.000268678,0.000268678,0.000268678
164,165,4555.17,1.13902,0.55334,0.00219,0.53449,0.50075,0.49083,0.29871,1.43672,0.92195,0.00267,0.00026161,0.00026161,0.00026161
165,166,4624.81,1.19802,0.60946,0.00221,0.5205,0.49318,0.47836,0.28914,1.45664,0.94319,0.00271,0.000254541,0.000254541,0.000254541
166,167,4694.4,1.17739,0.54146,0.00211,0.50553,0.49275,0.47004,0.29069,1.43926,0.94754,0.00268,0.000247472,0.000247472,0.000247472
167,168,4764.26,1.10981,0.47921,0.00199,0.56095,0.49633,0.47762,0.29281,1.43718,0.94049,0.00265,0.000240404,0.000240404,0.000240404
168,169,4834.02,1.1822,0.52214,0.00189,0.52958,0.51566,0.46901,0.28575,1.46067,0.9363,0.00269,0.000233335,0.000233335,0.000233335
169,170,4903.66,1.22604,0.57148,0.00201,0.53973,0.48882,0.46936,0.29229,1.42792,0.91222,0.00264,0.000226267,0.000226267,0.000226267
170,171,4973.31,1.15748,0.53082,0.00196,0.54095,0.49152,0.47791,0.28956,1.42846,0.91227,0.00264,0.000219198,0.000219198,0.000219198
171,172,5043.1,1.20762,0.55701,0.00198,0.57216,0.48588,0.49467,0.2976,1.44525,0.90889,0.00267,0.000212129,0.000212129,0.000212129
172,173,5113.03,1.08988,0.50226,0.00207,0.56724,0.47718,0.50035,0.30596,1.41593,0.91347,0.00262,0.000205061,0.000205061,0.000205061
173,174,5182.97,1.09177,0.51962,0.00213,0.53417,0.50576,0.4872,0.30472,1.42323,0.92621,0.00263,0.000197992,0.000197992,0.000197992
174,175,5252.94,1.18762,0.55798,0.00193,0.48285,0.5208,0.47593,0.29554,1.43744,0.9173,0.00263,0.000190924,0.000190924,0.000190924
175,176,5322.48,1.20262,0.55225,0.00192,0.5244,0.50405,0.49204,0.30551,1.42078,0.90908,0.00262,0.000183855,0.000183855,0.000183855
